Region,Age,DM,Gender,Smoke,CHOL,Risk,SBP
East Asia,50-54,Yes,M,Non-smoker,5-5.9,7,<120
East Asia,45-49,Yes,M,Non-smoker,5-5.9,22,>=180
East Asia,45-49,Yes,M,Non-smoker,5-5.9,16,160-179
East Asia,45-49,Yes,M,Non-smoker,5-5.9,11,140-159
East Asia,45-49,Yes,M,Non-smoker,5-5.9,8,120-139
East Asia,45-49,Yes,M,Non-smoker,5-5.9,5,<120
East Asia,40-44,Yes,M,Non-smoker,5-5.9,19,>=180
East Asia,40-44,Yes,M,Non-smoker,5-5.9,13,160-179
East Asia,40-44,Yes,M,Non-smoker,5-5.9,9,140-159
East Asia,40-44,Yes,M,Non-smoker,5-5.9,6,120-139
East Asia,40-44,Yes,M,Non-smoker,5-5.9,4,<120
South Asia,70-74,No,M,Non-smoker,5-5.9,27,>=180
South Asia,70-74,No,M,Non-smoker,5-5.9,23,160-179
South Asia,70-74,No,M,Non-smoker,5-5.9,19,140-159
South Asia,70-74,No,M,Non-smoker,5-5.9,16,120-139
South Asia,70-74,No,M,Non-smoker,5-5.9,13,<120
South Asia,65-69,No,M,Non-smoker,5-5.9,21,>=180
South Asia,65-69,No,M,Non-smoker,5-5.9,18,160-179
South Asia,65-69,No,M,Non-smoker,5-5.9,14,140-159
South Asia,65-69,No,M,Non-smoker,5-5.9,12,120-139
South Asia,65-69,No,M,Non-smoker,5-5.9,9,<120
South Asia,60-64,No,M,Non-smoker,5-5.9,17,>=180
South Asia,60-64,No,M,Non-smoker,5-5.9,14,160-179
South Asia,60-64,No,M,Non-smoker,5-5.9,11,140-159
South Asia,60-64,No,M,Non-smoker,5-5.9,9,120-139
South Asia,60-64,No,M,Non-smoker,5-5.9,7,<120
South Asia,55-59,No,M,Non-smoker,5-5.9,13,>=180
South Asia,55-59,No,M,Non-smoker,5-5.9,11,160-179
South Asia,55-59,No,M,Non-smoker,5-5.9,8,140-159
South Asia,55-59,No,M,Non-smoker,5-5.9,6,120-139
South Asia,55-59,No,M,Non-smoker,5-5.9,5,<120
South Asia,50-54,No,M,Non-smoker,5-5.9,11,>=180
South Asia,50-54,No,M,Non-smoker,5-5.9,8,160-179
South Asia,50-54,No,M,Non-smoker,5-5.9,6,140-159
South Asia,50-54,No,M,Non-smoker,5-5.9,5,120-139
South Asia,50-54,No,M,Non-smoker,5-5.9,4,<120
South Asia,45-49,No,M,Non-smoker,5-5.9,8,>=180
South Asia,45-49,No,M,Non-smoker,5-5.9,6,160-179
South Asia,45-49,No,M,Non-smoker,5-5.9,5,140-159
South Asia,45-49,No,M,Non-smoker,5-5.9,4,120-139
South Asia,45-49,No,M,Non-smoker,5-5.9,3,<120
South Asia,40-44,No,M,Non-smoker,5-5.9,7,>=180
South Asia,40-44,No,M,Non-smoker,5-5.9,5,160-179
South Asia,40-44,No,M,Non-smoker,5-5.9,4,140-159
South Asia,40-44,No,M,Non-smoker,5-5.9,3,120-139
South Asia,40-44,No,M,Non-smoker,5-5.9,2,<120
South Asia,70-74,Yes,M,Non-smoker,5-5.9,36,>=180
South Asia,70-74,Yes,M,Non-smoker,5-5.9,31,160-179
South Asia,70-74,Yes,M,Non-smoker,5-5.9,26,140-159
South Asia,70-74,Yes,M,Non-smoker,5-5.9,22,120-139
South Asia,70-74,Yes,M,Non-smoker,5-5.9,18,<120
South Asia,65-69,Yes,M,Non-smoker,5-5.9,31,>=180
South Asia,65-69,Yes,M,Non-smoker,5-5.9,26,160-179
South Asia,65-69,Yes,M,Non-smoker,5-5.9,21,140-159
South Asia,65-69,Yes,M,Non-smoker,5-5.9,17,120-139
South Asia,65-69,Yes,M,Non-smoker,5-5.9,14,<120
South Asia,60-64,Yes,M,Non-smoker,5-5.9,26,>=180
South Asia,60-64,Yes,M,Non-smoker,5-5.9,21,160-179
South Asia,60-64,Yes,M,Non-smoker,5-5.9,17,140-159
South Asia,60-64,Yes,M,Non-smoker,5-5.9,14,120-139
South Asia,60-64,Yes,M,Non-smoker,5-5.9,11,<120
South Asia,55-59,Yes,M,Non-smoker,5-5.9,22,>=180
South Asia,55-59,Yes,M,Non-smoker,5-5.9,17,160-179
South Asia,55-59,Yes,M,Non-smoker,5-5.9,14,140-159
South Asia,55-59,Yes,M,Non-smoker,5-5.9,11,120-139
South Asia,55-59,Yes,M,Non-smoker,5-5.9,8,<120
South Asia,50-54,Yes,M,Non-smoker,5-5.9,18,>=180
South Asia,50-54,Yes,M,Non-smoker,5-5.9,14,160-179
South Asia,50-54,Yes,M,Non-smoker,5-5.9,11,140-159
South Asia,50-54,Yes,M,Non-smoker,5-5.9,9,120-139
South Asia,50-54,Yes,M,Non-smoker,5-5.9,7,<120
South Asia,45-49,Yes,M,Non-smoker,5-5.9,15,>=180
South Asia,45-49,Yes,M,Non-smoker,5-5.9,12,160-179
South Asia,45-49,Yes,M,Non-smoker,5-5.9,9,140-159
South Asia,45-49,Yes,M,Non-smoker,5-5.9,7,120-139
South Asia,45-49,Yes,M,Non-smoker,5-5.9,5,<120
South Asia,40-44,Yes,M,Non-smoker,5-5.9,13,>=180
South Asia,40-44,Yes,M,Non-smoker,5-5.9,10,160-179
South Asia,40-44,Yes,M,Non-smoker,5-5.9,7,140-159
South Asia,40-44,Yes,M,Non-smoker,5-5.9,5,120-139
South Asia,40-44,Yes,M,Non-smoker,5-5.9,4,<120
Southeast Asia,70-74,No,M,Non-smoker,5-5.9,29,>=180
Southeast Asia,70-74,No,M,Non-smoker,5-5.9,23,160-179
Southeast Asia,70-74,No,M,Non-smoker,5-5.9,19,140-159
Southeast Asia,70-74,No,M,Non-smoker,5-5.9,15,120-139
Southeast Asia,70-74,No,M,Non-smoker,5-5.9,12,<120
Southeast Asia,65-69,No,M,Non-smoker,5-5.9,22,>=180
Southeast Asia,65-69,No,M,Non-smoker,5-5.9,18,160-179
Southeast Asia,65-69,No,M,Non-smoker,5-5.9,14,140-159
Southeast Asia,65-69,No,M,Non-smoker,5-5.9,11,120-139
Southeast Asia,65-69,No,M,Non-smoker,5-5.9,9,<120
Southeast Asia,60-64,No,M,Non-smoker,5-5.9,17,>=180
Southeast Asia,60-64,No,M,Non-smoker,5-5.9,13,160-179
Southeast Asia,60-64,No,M,Non-smoker,5-5.9,10,140-159
Southeast Asia,60-64,No,M,Non-smoker,5-5.9,8,120-139
Southeast Asia,60-64,No,M,Non-smoker,5-5.9,6,<120
Southeast Asia,55-59,No,M,Non-smoker,5-5.9,13,>=180
Southeast Asia,55-59,No,M,Non-smoker,5-5.9,10,160-179
Southeast Asia,55-59,No,M,Non-smoker,5-5.9,8,140-159
Southeast Asia,55-59,No,M,Non-smoker,5-5.9,6,120-139
Southeast Asia,55-59,No,M,Non-smoker,5-5.9,4,<120
Southeast Asia,50-54,No,M,Non-smoker,5-5.9,10,>=180
Southeast Asia,50-54,No,M,Non-smoker,5-5.9,8,160-179
Southeast Asia,50-54,No,M,Non-smoker,5-5.9,6,140-159
Southeast Asia,50-54,No,M,Non-smoker,5-5.9,4,120-139
Southeast Asia,50-54,No,M,Non-smoker,5-5.9,3,<120
Southeast Asia,45-49,No,M,Non-smoker,5-5.9,8,>=180
Southeast Asia,45-49,No,M,Non-smoker,5-5.9,6,160-179
Southeast Asia,45-49,No,M,Non-smoker,5-5.9,4,140-159
Southeast Asia,45-49,No,M,Non-smoker,5-5.9,3,120-139
Southeast Asia,45-49,No,M,Non-smoker,5-5.9,2,<120
Southeast Asia,40-44,No,M,Non-smoker,5-5.9,6,>=180
Southeast Asia,40-44,No,M,Non-smoker,5-5.9,4,160-179
Southeast Asia,40-44,No,M,Non-smoker,5-5.9,3,140-159
Southeast Asia,40-44,No,M,Non-smoker,5-5.9,2,120-139
Southeast Asia,40-44,No,M,Non-smoker,5-5.9,1,<120
Southeast Asia,70-74,Yes,M,Non-smoker,5-5.9,39,>=180
Southeast Asia,70-74,Yes,M,Non-smoker,5-5.9,32,160-179
Southeast Asia,70-74,Yes,M,Non-smoker,5-5.9,26,140-159
Southeast Asia,70-74,Yes,M,Non-smoker,5-5.9,22,120-139
Southeast Asia,70-74,Yes,M,Non-smoker,5-5.9,17,<120
Southeast Asia,65-69,Yes,M,Non-smoker,5-5.9,33,>=180
Southeast Asia,65-69,Yes,M,Non-smoker,5-5.9,26,160-179
Southeast Asia,65-69,Yes,M,Non-smoker,5-5.9,21,140-159
Southeast Asia,65-69,Yes,M,Non-smoker,5-5.9,17,120-139
Southeast Asia,65-69,Yes,M,Non-smoker,5-5.9,13,<120
Southeast Asia,60-64,Yes,M,Non-smoker,5-5.9,27,>=180
Southeast Asia,60-64,Yes,M,Non-smoker,5-5.9,21,160-179
Southeast Asia,60-64,Yes,M,Non-smoker,5-5.9,17,140-159
Southeast Asia,60-64,Yes,M,Non-smoker,5-5.9,13,120-139
Southeast Asia,60-64,Yes,M,Non-smoker,5-5.9,10,<120
Southeast Asia,55-59,Yes,M,Non-smoker,5-5.9,23,>=180
Southeast Asia,55-59,Yes,M,Non-smoker,5-5.9,17,160-179
Southeast Asia,55-59,Yes,M,Non-smoker,5-5.9,13,140-159
Southeast Asia,55-59,Yes,M,Non-smoker,5-5.9,10,120-139
Southeast Asia,55-59,Yes,M,Non-smoker,5-5.9,7,<120
Southeast Asia,50-54,Yes,M,Non-smoker,5-5.9,19,>=180
Southeast Asia,50-54,Yes,M,Non-smoker,5-5.9,14,160-179
Southeast Asia,50-54,Yes,M,Non-smoker,5-5.9,10,140-159
Southeast Asia,50-54,Yes,M,Non-smoker,5-5.9,8,120-139
Southeast Asia,50-54,Yes,M,Non-smoker,5-5.9,6,<120
Southeast Asia,45-49,Yes,M,Non-smoker,5-5.9,16,>=180
Southeast Asia,45-49,Yes,M,Non-smoker,5-5.9,11,160-179
Southeast Asia,45-49,Yes,M,Non-smoker,5-5.9,8,140-159
Southeast Asia,45-49,Yes,M,Non-smoker,5-5.9,6,120-139
Southeast Asia,45-49,Yes,M,Non-smoker,5-5.9,4,<120
Southeast Asia,40-44,Yes,M,Non-smoker,5-5.9,13,>=180
Southeast Asia,40-44,Yes,M,Non-smoker,5-5.9,9,160-179
Southeast Asia,40-44,Yes,M,Non-smoker,5-5.9,6,140-159
Southeast Asia,40-44,Yes,M,Non-smoker,5-5.9,4,120-139
Southeast Asia,40-44,Yes,M,Non-smoker,5-5.9,3,<120
Central Asia,70-74,No,M,Non-smoker,5-5.9,57,>=180
Central Asia,70-74,No,M,Non-smoker,5-5.9,46,160-179
Central Asia,70-74,No,M,Non-smoker,5-5.9,37,140-159
Central Asia,70-74,No,M,Non-smoker,5-5.9,29,120-139
Central Asia,70-74,No,M,Non-smoker,5-5.9,22,<120
Central Asia,65-69,No,M,Non-smoker,5-5.9,43,>=180
Central Asia,65-69,No,M,Non-smoker,5-5.9,33,160-179
Central Asia,65-69,No,M,Non-smoker,5-5.9,25,140-159
Central Asia,65-69,No,M,Non-smoker,5-5.9,19,120-139
Central Asia,65-69,No,M,Non-smoker,5-5.9,14,<120
Central Asia,60-64,No,M,Non-smoker,5-5.9,31,>=180
Central Asia,60-64,No,M,Non-smoker,5-5.9,23,160-179
Central Asia,60-64,No,M,Non-smoker,5-5.9,17,140-159
Central Asia,60-64,No,M,Non-smoker,5-5.9,12,120-139
Central Asia,60-64,No,M,Non-smoker,5-5.9,9,<120
Central Asia,55-59,No,M,Non-smoker,5-5.9,22,>=180
Central Asia,55-59,No,M,Non-smoker,5-5.9,16,160-179
Central Asia,55-59,No,M,Non-smoker,5-5.9,11,140-159
Central Asia,55-59,No,M,Non-smoker,5-5.9,8,120-139
Central Asia,55-59,No,M,Non-smoker,5-5.9,6,<120
Central Asia,50-54,No,M,Non-smoker,5-5.9,16,>=180
Central Asia,50-54,No,M,Non-smoker,5-5.9,11,160-179
Central Asia,50-54,No,M,Non-smoker,5-5.9,8,140-159
Central Asia,50-54,No,M,Non-smoker,5-5.9,5,120-139
Central Asia,50-54,No,M,Non-smoker,5-5.9,4,<120
Central Asia,45-49,No,M,Non-smoker,5-5.9,11,>=180
Central Asia,45-49,No,M,Non-smoker,5-5.9,8,160-179
Central Asia,45-49,No,M,Non-smoker,5-5.9,5,140-159
Central Asia,45-49,No,M,Non-smoker,5-5.9,3,120-139
Central Asia,45-49,No,M,Non-smoker,5-5.9,2,<120
Central Asia,40-44,No,M,Non-smoker,5-5.9,8,>=180
Central Asia,40-44,No,M,Non-smoker,5-5.9,5,160-179
Central Asia,40-44,No,M,Non-smoker,5-5.9,4,140-159
Central Asia,40-44,No,M,Non-smoker,5-5.9,2,120-139
Central Asia,40-44,No,M,Non-smoker,5-5.9,1,<120
Central Asia,70-74,Yes,M,Non-smoker,5-5.9,80,>=180
Central Asia,70-74,Yes,M,Non-smoker,5-5.9,69,160-179
Central Asia,70-74,Yes,M,Non-smoker,5-5.9,57,140-159
Central Asia,70-74,Yes,M,Non-smoker,5-5.9,46,120-139
Central Asia,70-74,Yes,M,Non-smoker,5-5.9,36,<120
Central Asia,65-69,Yes,M,Non-smoker,5-5.9,68,>=180
Central Asia,65-69,Yes,M,Non-smoker,5-5.9,55,160-179
Central Asia,65-69,Yes,M,Non-smoker,5-5.9,44,140-159
Central Asia,65-69,Yes,M,Non-smoker,5-5.9,34,120-139
Central Asia,65-69,Yes,M,Non-smoker,5-5.9,26,<120
Central Asia,60-64,Yes,M,Non-smoker,5-5.9,56,>=180
Central Asia,60-64,Yes,M,Non-smoker,5-5.9,43,160-179
Central Asia,60-64,Yes,M,Non-smoker,5-5.9,33,140-159
Central Asia,60-64,Yes,M,Non-smoker,5-5.9,24,120-139
Central Asia,60-64,Yes,M,Non-smoker,5-5.9,18,<120
Central Asia,55-59,Yes,M,Non-smoker,5-5.9,44,>=180
Central Asia,55-59,Yes,M,Non-smoker,5-5.9,33,160-179
Central Asia,55-59,Yes,M,Non-smoker,5-5.9,24,140-159
Central Asia,55-59,Yes,M,Non-smoker,5-5.9,17,120-139
Central Asia,55-59,Yes,M,Non-smoker,5-5.9,12,<120
Central Asia,50-54,Yes,M,Non-smoker,5-5.9,35,>=180
Central Asia,50-54,Yes,M,Non-smoker,5-5.9,25,160-179
Central Asia,50-54,Yes,M,Non-smoker,5-5.9,18,140-159
Central Asia,50-54,Yes,M,Non-smoker,5-5.9,12,120-139
Central Asia,50-54,Yes,M,Non-smoker,5-5.9,8,<120
Central Asia,45-49,Yes,M,Non-smoker,5-5.9,27,>=180
Central Asia,45-49,Yes,M,Non-smoker,5-5.9,19,160-179
Central Asia,45-49,Yes,M,Non-smoker,5-5.9,13,140-159
Central Asia,45-49,Yes,M,Non-smoker,5-5.9,9,120-139
Central Asia,45-49,Yes,M,Non-smoker,5-5.9,6,<120
Central Asia,40-44,Yes,M,Non-smoker,5-5.9,21,>=180
Central Asia,40-44,Yes,M,Non-smoker,5-5.9,14,160-179
Central Asia,40-44,Yes,M,Non-smoker,5-5.9,9,140-159
Central Asia,40-44,Yes,M,Non-smoker,5-5.9,6,120-139
Central Asia,40-44,Yes,M,Non-smoker,5-5.9,4,<120
High-Income Asia Pacific,70-74,No,M,Non-smoker,5-5.9,24,>=180
High-Income Asia Pacific,70-74,No,M,Non-smoker,5-5.9,21,160-179
High-Income Asia Pacific,70-74,No,M,Non-smoker,5-5.9,17,140-159
High-Income Asia Pacific,70-74,No,M,Non-smoker,5-5.9,15,120-139
High-Income Asia Pacific,70-74,No,M,Non-smoker,5-5.9,13,<120
High-Income Asia Pacific,65-69,No,M,Non-smoker,5-5.9,20,>=180
High-Income Asia Pacific,65-69,No,M,Non-smoker,5-5.9,17,160-179
High-Income Asia Pacific,65-69,No,M,Non-smoker,5-5.9,14,140-159
High-Income Asia Pacific,65-69,No,M,Non-smoker,5-5.9,12,120-139
High-Income Asia Pacific,65-69,No,M,Non-smoker,5-5.9,10,<120
High-Income Asia Pacific,60-64,No,M,Non-smoker,5-5.9,16,>=180
High-Income Asia Pacific,60-64,No,M,Non-smoker,5-5.9,13,160-179
High-Income Asia Pacific,60-64,No,M,Non-smoker,5-5.9,11,140-159
High-Income Asia Pacific,60-64,No,M,Non-smoker,5-5.9,9,120-139
High-Income Asia Pacific,60-64,No,M,Non-smoker,5-5.9,7,<120
High-Income Asia Pacific,55-59,No,M,Non-smoker,5-5.9,13,>=180
High-Income Asia Pacific,55-59,No,M,Non-smoker,5-5.9,11,160-179
High-Income Asia Pacific,55-59,No,M,Non-smoker,5-5.9,9,140-159
High-Income Asia Pacific,55-59,No,M,Non-smoker,5-5.9,7,120-139
High-Income Asia Pacific,55-59,No,M,Non-smoker,5-5.9,6,<120
High-Income Asia Pacific,50-54,No,M,Non-smoker,5-5.9,11,>=180
High-Income Asia Pacific,50-54,No,M,Non-smoker,5-5.9,9,160-179
High-Income Asia Pacific,50-54,No,M,Non-smoker,5-5.9,7,140-159
High-Income Asia Pacific,50-54,No,M,Non-smoker,5-5.9,5,120-139
High-Income Asia Pacific,50-54,No,M,Non-smoker,5-5.9,4,<120
High-Income Asia Pacific,45-49,No,M,Non-smoker,5-5.9,9,>=180
High-Income Asia Pacific,45-49,No,M,Non-smoker,5-5.9,7,160-179
High-Income Asia Pacific,45-49,No,M,Non-smoker,5-5.9,5,140-159
High-Income Asia Pacific,45-49,No,M,Non-smoker,5-5.9,4,120-139
High-Income Asia Pacific,45-49,No,M,Non-smoker,5-5.9,3,<120
High-Income Asia Pacific,40-44,No,M,Non-smoker,5-5.9,7,>=180
High-Income Asia Pacific,40-44,No,M,Non-smoker,5-5.9,6,160-179
High-Income Asia Pacific,40-44,No,M,Non-smoker,5-5.9,4,140-159
High-Income Asia Pacific,40-44,No,M,Non-smoker,5-5.9,3,120-139
High-Income Asia Pacific,40-44,No,M,Non-smoker,5-5.9,2,<120
High-Income Asia Pacific,70-74,Yes,M,Non-smoker,5-5.9,31,>=180
High-Income Asia Pacific,70-74,Yes,M,Non-smoker,5-5.9,27,160-179
High-Income Asia Pacific,70-74,Yes,M,Non-smoker,5-5.9,23,140-159
High-Income Asia Pacific,70-74,Yes,M,Non-smoker,5-5.9,19,120-139
High-Income Asia Pacific,70-74,Yes,M,Non-smoker,5-5.9,17,<120
High-Income Asia Pacific,65-69,Yes,M,Non-smoker,5-5.9,27,>=180
High-Income Asia Pacific,65-69,Yes,M,Non-smoker,5-5.9,23,160-179
High-Income Asia Pacific,65-69,Yes,M,Non-smoker,5-5.9,19,140-159
High-Income Asia Pacific,65-69,Yes,M,Non-smoker,5-5.9,16,120-139
High-Income Asia Pacific,65-69,Yes,M,Non-smoker,5-5.9,13,<120
High-Income Asia Pacific,60-64,Yes,M,Non-smoker,5-5.9,23,>=180
High-Income Asia Pacific,60-64,Yes,M,Non-smoker,5-5.9,19,160-179
High-Income Asia Pacific,60-64,Yes,M,Non-smoker,5-5.9,16,140-159
High-Income Asia Pacific,60-64,Yes,M,Non-smoker,5-5.9,13,120-139
High-Income Asia Pacific,60-64,Yes,M,Non-smoker,5-5.9,11,<120
High-Income Asia Pacific,55-59,Yes,M,Non-smoker,5-5.9,20,>=180
High-Income Asia Pacific,55-59,Yes,M,Non-smoker,5-5.9,16,160-179
High-Income Asia Pacific,55-59,Yes,M,Non-smoker,5-5.9,13,140-159
High-Income Asia Pacific,55-59,Yes,M,Non-smoker,5-5.9,11,120-139
High-Income Asia Pacific,55-59,Yes,M,Non-smoker,5-5.9,9,<120
High-Income Asia Pacific,50-54,Yes,M,Non-smoker,5-5.9,17,>=180
High-Income Asia Pacific,50-54,Yes,M,Non-smoker,5-5.9,14,160-179
High-Income Asia Pacific,50-54,Yes,M,Non-smoker,5-5.9,11,140-159
High-Income Asia Pacific,50-54,Yes,M,Non-smoker,5-5.9,9,120-139
High-Income Asia Pacific,50-54,Yes,M,Non-smoker,5-5.9,7,<120
High-Income Asia Pacific,45-49,Yes,M,Non-smoker,5-5.9,15,>=180
High-Income Asia Pacific,45-49,Yes,M,Non-smoker,5-5.9,12,160-179
High-Income Asia Pacific,45-49,Yes,M,Non-smoker,5-5.9,9,140-159
High-Income Asia Pacific,45-49,Yes,M,Non-smoker,5-5.9,7,120-139
High-Income Asia Pacific,45-49,Yes,M,Non-smoker,5-5.9,6,<120
High-Income Asia Pacific,40-44,Yes,M,Non-smoker,5-5.9,13,>=180
High-Income Asia Pacific,40-44,Yes,M,Non-smoker,5-5.9,10,160-179
High-Income Asia Pacific,40-44,Yes,M,Non-smoker,5-5.9,8,140-159
High-Income Asia Pacific,40-44,Yes,M,Non-smoker,5-5.9,6,120-139
High-Income Asia Pacific,40-44,Yes,M,Non-smoker,5-5.9,4,<120
Western Europe,70-74,No,M,Non-smoker,5-5.9,33,>=180
Western Europe,70-74,No,M,Non-smoker,5-5.9,27,160-179
Western Europe,70-74,No,M,Non-smoker,5-5.9,22,140-159
Western Europe,70-74,No,M,Non-smoker,5-5.9,18,120-139
Western Europe,70-74,No,M,Non-smoker,5-5.9,15,<120
Western Europe,65-69,No,M,Non-smoker,5-5.9,26,>=180
Western Europe,65-69,No,M,Non-smoker,5-5.9,21,160-179
Western Europe,65-69,No,M,Non-smoker,5-5.9,17,140-159
Western Europe,65-69,No,M,Non-smoker,5-5.9,13,120-139
Western Europe,65-69,No,M,Non-smoker,5-5.9,11,<120
Western Europe,60-64,No,M,Non-smoker,5-5.9,20,>=180
Western Europe,60-64,No,M,Non-smoker,5-5.9,16,160-179
Western Europe,60-64,No,M,Non-smoker,5-5.9,12,140-159
Western Europe,60-64,No,M,Non-smoker,5-5.9,10,120-139
Western Europe,60-64,No,M,Non-smoker,5-5.9,7,<120
Western Europe,55-59,No,M,Non-smoker,5-5.9,15,>=180
Western Europe,55-59,No,M,Non-smoker,5-5.9,12,160-179
Western Europe,55-59,No,M,Non-smoker,5-5.9,9,140-159
Western Europe,55-59,No,M,Non-smoker,5-5.9,7,120-139
Western Europe,55-59,No,M,Non-smoker,5-5.9,5,<120
Western Europe,50-54,No,M,Non-smoker,5-5.9,12,>=180
Western Europe,50-54,No,M,Non-smoker,5-5.9,9,160-179
Western Europe,50-54,No,M,Non-smoker,5-5.9,7,140-159
Western Europe,50-54,No,M,Non-smoker,5-5.9,5,120-139
Western Europe,50-54,No,M,Non-smoker,5-5.9,4,<120
Western Europe,45-49,No,M,Non-smoker,5-5.9,9,>=180
Western Europe,45-49,No,M,Non-smoker,5-5.9,7,160-179
Western Europe,45-49,No,M,Non-smoker,5-5.9,5,140-159
Western Europe,45-49,No,M,Non-smoker,5-5.9,4,120-139
Western Europe,45-49,No,M,Non-smoker,5-5.9,3,<120
Western Europe,40-44,No,M,Non-smoker,5-5.9,7,>=180
Western Europe,40-44,No,M,Non-smoker,5-5.9,5,160-179
Western Europe,40-44,No,M,Non-smoker,5-5.9,4,140-159
Western Europe,40-44,No,M,Non-smoker,5-5.9,3,120-139
Western Europe,40-44,No,M,Non-smoker,5-5.9,2,<120
Western Europe,70-74,Yes,M,Non-smoker,5-5.9,44,>=180
Western Europe,70-74,Yes,M,Non-smoker,5-5.9,37,160-179
Western Europe,70-74,Yes,M,Non-smoker,5-5.9,31,140-159
Western Europe,70-74,Yes,M,Non-smoker,5-5.9,26,120-139
Western Europe,70-74,Yes,M,Non-smoker,5-5.9,21,<120
Western Europe,65-69,Yes,M,Non-smoker,5-5.9,37,>=180
Western Europe,65-69,Yes,M,Non-smoker,5-5.9,31,160-179
Western Europe,65-69,Yes,M,Non-smoker,5-5.9,25,140-159
Western Europe,65-69,Yes,M,Non-smoker,5-5.9,20,120-139
Western Europe,65-69,Yes,M,Non-smoker,5-5.9,16,<120
Western Europe,60-64,Yes,M,Non-smoker,5-5.9,31,>=180
Western Europe,60-64,Yes,M,Non-smoker,5-5.9,25,160-179
Western Europe,60-64,Yes,M,Non-smoker,5-5.9,20,140-159
Western Europe,60-64,Yes,M,Non-smoker,5-5.9,16,120-139
Western Europe,60-64,Yes,M,Non-smoker,5-5.9,12,<120
Western Europe,55-59,Yes,M,Non-smoker,5-5.9,26,>=180
Western Europe,55-59,Yes,M,Non-smoker,5-5.9,20,160-179
Western Europe,55-59,Yes,M,Non-smoker,5-5.9,16,140-159
Western Europe,55-59,Yes,M,Non-smoker,5-5.9,12,120-139
Western Europe,55-59,Yes,M,Non-smoker,5-5.9,9,<120
Western Europe,50-54,Yes,M,Non-smoker,5-5.9,22,>=180
Western Europe,50-54,Yes,M,Non-smoker,5-5.9,17,160-179
Western Europe,50-54,Yes,M,Non-smoker,5-5.9,13,140-159
Western Europe,50-54,Yes,M,Non-smoker,5-5.9,9,120-139
Western Europe,50-54,Yes,M,Non-smoker,5-5.9,7,<120
Western Europe,45-49,Yes,M,Non-smoker,5-5.9,18,>=180
Western Europe,45-49,Yes,M,Non-smoker,5-5.9,13,160-179
Western Europe,45-49,Yes,M,Non-smoker,5-5.9,10,140-159
Western Europe,45-49,Yes,M,Non-smoker,5-5.9,7,120-139
Western Europe,45-49,Yes,M,Non-smoker,5-5.9,5,<120
Western Europe,40-44,Yes,M,Non-smoker,5-5.9,15,>=180
Western Europe,40-44,Yes,M,Non-smoker,5-5.9,11,160-179
Western Europe,40-44,Yes,M,Non-smoker,5-5.9,8,140-159
Western Europe,40-44,Yes,M,Non-smoker,5-5.9,6,120-139
Western Europe,40-44,Yes,M,Non-smoker,5-5.9,4,<120
Central Europe,70-74,No,M,Non-smoker,5-5.9,40,>=180
Central Europe,70-74,No,M,Non-smoker,5-5.9,33,160-179
Central Europe,70-74,No,M,Non-smoker,5-5.9,27,140-159
Central Europe,70-74,No,M,Non-smoker,5-5.9,21,120-139
Central Europe,70-74,No,M,Non-smoker,5-5.9,17,<120
Central Europe,65-69,No,M,Non-smoker,5-5.9,32,>=180
Central Europe,65-69,No,M,Non-smoker,5-5.9,25,160-179
Central Europe,65-69,No,M,Non-smoker,5-5.9,19,140-159
Central Europe,65-69,No,M,Non-smoker,5-5.9,15,120-139
Central Europe,65-69,No,M,Non-smoker,5-5.9,12,<120
Central Europe,60-64,No,M,Non-smoker,5-5.9,24,>=180
Central Europe,60-64,No,M,Non-smoker,5-5.9,18,160-179
Central Europe,60-64,No,M,Non-smoker,5-5.9,14,140-159
Central Europe,60-64,No,M,Non-smoker,5-5.9,11,120-139
Central Europe,60-64,No,M,Non-smoker,5-5.9,8,<120
Central Europe,55-59,No,M,Non-smoker,5-5.9,18,>=180
Central Europe,55-59,No,M,Non-smoker,5-5.9,14,160-179
Central Europe,55-59,No,M,Non-smoker,5-5.9,10,140-159
Central Europe,55-59,No,M,Non-smoker,5-5.9,7,120-139
Central Europe,55-59,No,M,Non-smoker,5-5.9,5,<120
Central Europe,50-54,No,M,Non-smoker,5-5.9,14,>=180
Central Europe,50-54,No,M,Non-smoker,5-5.9,10,160-179
Central Europe,50-54,No,M,Non-smoker,5-5.9,7,140-159
Central Europe,50-54,No,M,Non-smoker,5-5.9,5,120-139
Central Europe,50-54,No,M,Non-smoker,5-5.9,4,<120
Central Europe,45-49,No,M,Non-smoker,5-5.9,10,>=180
Central Europe,45-49,No,M,Non-smoker,5-5.9,7,160-179
Central Europe,45-49,No,M,Non-smoker,5-5.9,5,140-159
Central Europe,45-49,No,M,Non-smoker,5-5.9,3,120-139
Central Europe,45-49,No,M,Non-smoker,5-5.9,2,<120
Central Europe,40-44,No,M,Non-smoker,5-5.9,8,>=180
Central Europe,40-44,No,M,Non-smoker,5-5.9,5,160-179
Central Europe,40-44,No,M,Non-smoker,5-5.9,3,140-159
Central Europe,40-44,No,M,Non-smoker,5-5.9,2,120-139
Central Europe,40-44,No,M,Non-smoker,5-5.9,2,<120
Central Europe,70-74,Yes,M,Non-smoker,5-5.9,54,>=180
Central Europe,70-74,Yes,M,Non-smoker,5-5.9,45,160-179
Central Europe,70-74,Yes,M,Non-smoker,5-5.9,38,140-159
